sample_idx,park_size,park_quality,park_proximity,park_function,p_kipp,median_kipp_time
0,81622.42925912142,0.45861768461763863,2.0,recreation,0.0,50.0
1,81622.42925912142,0.6838476600125433,2.0,recreation,0.2,14.0
2,6292.211772873998,0.45861768461763863,2.0,recreation,0.0,50.0
3,6292.211772873998,0.45861768461763863,2.0,recreation,0.0,50.0
4,81622.42925912142,0.6838476600125433,2.0,recreation,0.0,50.0
5,6292.211772873998,0.6838476600125433,2.0,recreation,0.0,50.0
6,19347.953034564853,0.5366224002093077,2.0,recreation,0.2,28.0
7,19347.953034564853,0.3073096875101328,2.0,recreation,0.0,50.0
8,51508.70219990611,0.5366224002093077,2.0,recreation,0.2,17.0
9,51508.70219990611,0.5366224002093077,2.0,recreation,0.0,50.0
10,19347.953034564853,0.3073096875101328,2.0,recreation,0.0,50.0
11,51508.70219990611,0.3073096875101328,2.0,recreation,0.2,21.0
12,71282.23787620664,0.6994807878509165,2.0,recreation,0.2,14.0
13,71282.23787620664,0.5782301077619196,2.0,recreation,0.0,50.0
14,28673.331231810153,0.6994807878509165,2.0,recreation,0.2,19.0
15,28673.331231810153,0.6994807878509165,2.0,recreation,0.0,50.0
16,71282.23787620664,0.5782301077619196,2.0,recreation,0.2,15.0
17,28673.331231810153,0.5782301077619196,2.0,recreation,0.2,18.0
18,29893.595391884446,0.3240291016176343,2.0,recreation,0.2,25.0
19,29893.595391884446,0.3566726621240378,2.0,recreation,0.0,50.0
20,78627.39483546466,0.3240291016176343,2.0,recreation,0.0,50.0
21,78627.39483546466,0.3240291016176343,2.0,recreation,0.2,16.0
22,29893.595391884446,0.3566726621240378,2.0,recreation,0.0,50.0
23,78627.39483546466,0.3566726621240378,2.0,recreation,0.6,15.0
24,62341.957167722285,0.21127759870141746,2.0,recreation,0.0,50.0
25,62341.957167722285,0.21127486396580936,2.0,recreation,0.2,21.0
26,90695.13577315956,0.21127759870141746,2.0,recreation,0.4,16.5
